fos,income,age,english_score,prev_gpa,sem1_gpa,sem2_gpa,sem3_gpa,sem4_gpa,sem1_pred,sem2_pred,sem3_pred,sem4_pred
Regional and Rural Development Planning,Lower middle income,u37,6,1.0,2.75,3.23,3.67,0.0,3.16,3.13,3.32,0.0
Environmental Engineering and Management,Low income,U30,6,2.8,3.13,3.13,3.75,0.0,3.67,3.32,3.47,0.0
Regional and Rural Development Planning,Upper middle income,U30,6,3.9,3.25,3.54,3.5,0.0,3.16,3.3,3.51,0.0
Food Engineering and Bioprocess Technology,Upper middle income,U30,6,3.61,3.88,4.0,4.0,0.0,3.53,3.77,3.94,0.0
Food Engineering and Bioprocess Technology,Lower middle income,U30,6.5,4.0,3.0,3.38,4.0,0.0,3.54,3.14,3.52,0.0
Regional and Rural Development Planning,Lower middle income,U30,6,3.18,2.88,3.0,3.0,0.0,3.18,3.13,3.34,0.0
Geotechnical and Geoenvironmental Engineering,Upper middle income,U30,6,3.62,3.5,3.38,3.5,0.0,3.47,3.58,3.53,0.0
Water Engineering and Management,Upper middle income,U30,6,3.28,3.12,3.5,0.0,0.0,3.48,3.18,0.0,0.0
Pulp and Paper Technology,Lower middle income,u37,6,3.11,3.29,3.58,0.0,0.0,3.54,3.34,0.0,0.0
Pulp and Paper Technology,Lower middle income,u37,6,3.57,3.89,3.67,0.0,0.0,3.54,3.74,0.0,0.0
ConstructionEngineering and Infrastructure Management,Lower middle income,U30,6,2.5,3.3,3.13,0.0,0.0,3.57,3.38,0.0,0.0
Business Administration - MBA,Lower middle income,u37,6,3.0,3.79,3.71,3.75,3.63,3.56,3.67,3.67,3.7
Business Administration - MBA,Lower middle income,U30,7,4.0,3.0,3.36,3.5,3.22,3.53,3.21,3.47,3.5
Business Administration - MBA,Lower middle income,U30,6.2,4.0,3.43,3.57,3.5,3.72,3.48,3.5,3.55,3.62
Business Administration - MBA,Upper middle income,u37,6,3.37,3.36,3.29,3.0,3.5,3.2,3.42,3.57,3.41
Business Administration - MBA,Upper middle income,u37,6,3.25,3.57,3.5,3.5,0.0,3.36,3.56,3.59,0.0
Business Administration - MBA,Upper middle income,U30,6.2,3.35,3.36,3.64,3.33,0.0,3.47,3.51,3.57,0.0
Gender and Development Studies,Upper middle income,U30,6,3.5,3.88,3.96,4.0,3.5,3.65,3.78,3.81,3.89
Gender and Development Studies,Lower middle income,u37,6.2,1.97,3.42,3.54,3.75,0.0,3.56,3.55,3.53,0.0
Pulp and Paper Technology,Lower middle income,U44,6,3.0,3.61,3.58,0.0,0.0,3.16,3.62,0.0,0.0
Gender and Development Studies,Lower middle income,u37,6,2.0,3.32,3.5,3.75,0.0,3.48,3.5,3.43,0.0
Gender and Development Studies,Low income,U30,6.5,4.0,3.93,3.88,4.0,0.0,3.67,3.81,4.0,0.0
Gender and Development Studies,Lower middle income,U30,6,4.0,3.08,3.38,4.0,4.0,3.22,3.24,3.4,3.49
Pulp and Paper Technology,Upper middle income,U25,6,3.62,3.39,3.79,0.0,0.0,3.62,3.53,0.0,0.0
Geotechnical and Geoenvironmental Engineering,Low income,U30,6,3.5,3.33,3.5,3.5,3.5,3.17,3.52,3.61,3.56
Offshore Technology and Management,Upper middle income,U30,6,2.91,3.63,3.63,4.0,0.0,3.53,3.59,3.59,0.0
Energy,Lower middle income,U30,6,3.0,3.55,3.38,3.0,4.0,3.47,3.61,3.52,3.42
Business Administration - MBA,Upper middle income,U30,6,3.36,3.5,3.57,3.7,3.5,3.58,3.55,3.54,3.57
ConstructionEngineering and Infrastructure Management,Lower middle income,U30,6,3.0,3.2,3.13,0.0,0.0,3.19,3.31,0.0,0.0
Business Administration - MBA,Upper middle income,U30,6,3.55,2.86,3.14,3.1,0.0,3.47,3.13,3.33,0.0
Business Administration - MBA,Upper middle income,U30,6,3.39,3.57,3.57,3.5,3.5,3.58,3.58,3.69,3.58
Business Administration - MBA,Upper middle income,u37,6,3.13,3.43,3.64,4.0,3.88,3.6,3.54,3.65,3.61
Business Administration - MBA,Low income,U30,6,3.38,3.71,3.79,3.88,3.63,3.46,3.67,3.72,3.63
Business Administration - MBA,Lower middle income,U30,6.5,2.44,3.0,3.0,3.19,0.0,3.49,3.16,3.31,0.0
Business Administration - MBA,Upper middle income,u37,6,2.76,3.71,3.43,4.0,3.38,3.63,3.62,3.61,3.64
Business Administration - MBA,Upper middle income,U25,6,2.99,3.36,3.36,3.3,0.0,3.58,3.5,3.49,0.0
Food Engineering and Bioprocess Technology,Upper middle income,U25,6.2,3.55,3.25,3.38,4.0,0.0,3.55,3.3,3.68,0.0
Food Engineering and Bioprocess Technology,Upper middle income,U30,6,3.54,3.13,3.25,4.0,0.0,3.41,3.14,3.49,0.0
Food Engineering and Bioprocess Technology,Upper middle income,U30,6,3.59,3.38,3.5,4.0,0.0,3.4,3.52,3.58,0.0
Remote Sensing and Geographic Information Systems,Low income,U30,6.2,3.5,3.82,4.0,0.0,0.0,3.48,3.79,0.0,0.0
ConstructionEngineering and Infrastructure Management,Lower middle income,u37,6,2.5,3.13,3.17,3.0,4.0,3.46,3.21,3.39,3.5
Business Administration - MBA,Low income,U30,7,3.24,3.79,3.64,4.0,3.14,3.53,3.74,3.82,3.74
Business Administration - MBA,Upper middle income,U30,6.2,3.25,3.0,3.21,3.3,0.0,3.49,3.14,3.37,0.0
Business Administration - MBA,Upper middle income,U30,6.2,2.75,3.36,3.14,3.25,0.0,3.57,3.49,3.5,0.0
Transportation Engineering,Upper middle income,U30,6,2.87,3.63,3.2,0.0,0.0,3.6,3.67,0.0,0.0
International Business - Management of Technology (VN),Lower middle income,G45,6,2.5,4.0,4.0,3.79,3.9,3.5,3.72,3.71,3.78
Food Engineering and Bioprocess Technology,Low income,U30,6,3.27,3.63,4.0,3.88,0.0,3.71,3.74,3.7,0.0
Environmental Engineering and Management,Low income,U44,6,3.0,2.75,3.0,2.5,4.0,3.17,3.04,3.31,3.2
Regional and Rural Development Planning,Lower middle income,u37,6.2,3.84,3.12,3.38,3.0,0.0,3.18,3.19,3.55,0.0
Regional and Rural Development Planning,Lower middle income,u37,6,3.89,3.12,2.75,3.0,0.0,3.17,3.15,3.41,0.0
ConstructionEngineering and Infrastructure Management,Lower middle income,U30,6,3.0,3.38,3.29,0.0,0.0,3.41,3.51,0.0,0.0
Environmental Engineering and Management,Upper middle income,U30,6,2.88,3.0,3.33,3.32,3.5,3.36,3.13,3.31,3.2
Food Engineering and Bioprocess Technology,Upper middle income,U30,6,2.91,3.25,4.0,3.13,0.0,3.5,3.5,3.54,0.0
Energy,Upper middle income,U30,6,3.52,3.55,3.88,3.88,4.0,3.32,3.63,3.58,3.65
Energy,Upper middle income,u37,6,2.5,3.29,3.38,3.32,0.0,3.4,3.53,3.36,0.0
Mechatronics,Lower middle income,U30,6.5,4.0,3.42,3.38,2.5,0.0,3.16,3.52,3.61,0.0
Transportation Engineering,Upper middle income,U44,6,3.32,3.88,3.71,0.0,0.0,3.34,3.77,0.0,0.0
Offshore Technology and Management,Upper middle income,U30,6,3.08,3.88,3.75,3.5,0.0,3.42,3.72,3.81,0.0
International Business - Management of Technology (VN),Lower middle income,U44,6,3.0,3.4,3.33,3.59,3.25,3.53,3.55,3.4,3.51
International Business - Management of Technology (VN),Lower middle income,u37,6.2,3.5,3.05,3.42,3.68,3.25,3.63,3.33,3.39,3.34
International Business - Management of Technology (VN),Lower middle income,U44,6.3,3.5,3.3,3.5,3.57,3.25,3.56,3.52,3.41,3.57
International Business - Management of Technology (VN),Lower middle income,u37,7,3.31,3.6,3.25,3.71,3.75,3.64,3.62,3.49,3.59
International Business - Management of Technology (VN),Lower middle income,U30,6.2,2.5,3.85,3.63,3.64,3.0,3.5,3.7,3.59,3.87
Nanotechnology,Upper middle income,U30,6,2.75,3.17,3.27,0.0,0.0,3.52,3.28,0.0,0.0
Business Administration - MBA,Low income,U30,6.5,2.86,3.36,3.36,3.3,3.33,3.52,3.56,3.53,3.49
Offshore Technology and Management,Upper middle income,U30,6,2.81,3.63,3.88,3.5,0.0,3.52,3.6,3.63,0.0
Environmental Engineering and Management,Low income,u37,6,3.0,3.13,3.5,3.5,0.0,3.48,3.35,3.55,0.0
Business Administration - MBA,Lower middle income,U30,6,1.65,3.0,3.21,3.4,3.11,3.5,3.15,3.32,3.2
Water Engineering and Management,Lower middle income,U30,6,4.0,3.46,3.57,0.0,0.0,3.42,3.55,0.0,0.0
International Business - Management of Technology (VN),Lower middle income,U44,6,3.0,3.55,3.56,3.43,3.86,3.53,3.57,3.61,3.54
Transportation Engineering,Lower middle income,u37,6,3.45,3.57,3.63,0.0,0.0,3.42,3.6,0.0,0.0
Remote Sensing and Geographic Information Systems,Lower middle income,u37,6,3.0,3.33,2.92,3.5,0.0,3.35,3.5,3.55,0.0
Mechatronics,High income,u37,6.5,3.0,3.54,3.13,3.88,0.0,3.67,3.55,3.5,0.0
Nanotechnology,Lower middle income,u37,6,3.38,3.08,3.63,4.0,4.0,3.23,3.22,3.59,3.61
Nanotechnology,Lower middle income,u37,6.5,3.26,3.67,3.42,4.0,4.0,3.28,3.62,3.75,3.82
Food Engineering and Bioprocess Technology,Upper middle income,u37,6,3.29,2.88,4.0,3.25,0.0,3.17,3.15,3.42,0.0
Food Engineering and Bioprocess Technology,Upper middle income,U30,6,3.13,3.25,4.0,3.88,0.0,3.5,3.5,3.55,0.0
Environmental Engineering and Management,Lower middle income,U30,6,3.0,3.17,3.2,3.04,0.0,3.48,3.25,3.33,0.0
Food Engineering and Bioprocess Technology,Lower middle income,U30,6,4.0,3.38,3.89,0.0,0.0,3.55,3.52,0.0,0.0
Business Administration - MBA,Upper middle income,U30,6.5,3.68,3.71,3.71,3.83,0.0,3.57,3.65,3.75,0.0
Urban Environmental Management,Lower middle income,U44,6,3.5,2.67,2.91,2.83,0.0,3.16,3.13,3.3,0.0
Business Administration - MBA,High income,U30,6,2.75,2.81,3.0,0.0,0.0,3.22,3.13,0.0,0.0
ConstructionEngineering and Infrastructure Management,Lower middle income,U30,6.2,2.5,3.2,3.13,0.0,0.0,3.44,3.22,0.0,0.0
Business Administration - MBA,Lower middle income,u37,6,3.36,3.0,2.64,3.21,3.25,3.24,3.13,3.31,3.2
Business Administration - MBA,Lower middle income,U30,6.3,3.5,3.21,3.14,3.23,3.23,3.56,3.15,3.38,3.49
Energy,Upper middle income,U30,6,3.24,3.04,3.3,3.5,4.0,3.49,3.16,3.44,3.54
Urban Environmental Management,Lower middle income,U30,6,3.38,3.57,3.5,3.5,0.0,3.58,3.62,3.62,0.0
Business Administration - MBA,Upper middle income,U30,6,3.26,3.36,3.14,3.27,3.0,3.21,3.32,3.41,3.21
Business Administration - MBA,Lower middle income,U30,6.5,4.0,3.43,3.36,3.6,0.0,3.44,3.5,3.5,0.0
Energy,Lower middle income,U30,6,3.5,3.58,3.63,3.5,0.0,3.45,3.59,3.58,0.0
International Business - Management of Technology (VN),Lower middle income,U44,6,2.5,3.36,3.38,3.74,3.5,3.56,3.55,3.39,3.55
International Business - Management of Technology (VN),Lower middle income,U44,6,3.5,3.45,3.8,3.5,3.63,3.53,3.59,3.49,3.53
Geotechnical and Geoenvironmental Engineering,Lower middle income,u37,6,3.5,3.23,3.27,0.0,0.0,3.52,3.35,0.0,0.0
Food Engineering and Bioprocess Technology,Low income,U30,6,2.62,3.88,4.0,3.88,0.0,3.76,3.83,3.79,0.0
International Business - Management of Technology (VN),Lower middle income,G45,6,3.5,3.23,3.32,3.31,3.0,3.56,3.28,3.45,3.2
International Business - Management of Technology (VN),Lower middle income,u37,6.5,2.5,3.57,3.5,3.88,3.2,3.59,3.58,3.61,3.68
Business Administration - MBA,High income,U30,6.5,3.5,3.54,3.42,0.0,0.0,3.49,3.52,0.0,0.0
Business Administration - MBA,High income,U30,7.5,4.0,3.6,3.86,0.0,0.0,3.49,3.57,0.0,0.0
International Business - Management of Technology (VN),Lower middle income,u37,6,2.76,3.37,3.5,3.65,3.5,3.49,3.5,3.51,3.56
International Business - Management of Technology (VN),Lower middle income,u37,6,2.85,3.63,3.43,3.5,3.0,3.57,3.59,3.52,3.58
Business Administration - MBA,Upper middle income,U25,6,3.67,3.79,3.5,4.0,3.83,3.53,3.64,3.76,3.6
Business Administration - MBA,Upper middle income,U30,6,3.5,3.57,3.43,3.83,4.0,3.59,3.57,3.54,3.67
Energy,Upper middle income,u37,6,2.61,3.25,3.0,3.5,3.0,3.47,3.49,3.31,3.26
Business Administration - MBA,Upper middle income,u37,6,3.65,3.57,3.57,3.88,0.0,3.35,3.57,3.54,0.0
Business Administration - MBA,Low income,U30,6.5,3.5,3.71,3.79,3.5,3.5,3.49,3.66,3.86,3.72
Business Administration - MBA,High income,U30,6.5,2.75,3.13,3.18,3.0,0.0,3.51,3.3,3.45,0.0
International Business - Management of Technology (BKK),Lower middle income,u37,6,3.51,3.4,3.26,3.0,0.0,3.53,3.49,3.43,0.0
Business Administration - MBA,Upper middle income,U30,6,3.79,3.57,3.5,3.8,0.0,3.48,3.56,3.55,0.0
Remote Sensing and Geographic Information Systems,Upper middle income,U30,6,3.63,3.71,3.5,0.0,0.0,3.55,3.68,0.0,0.0
Regional and Rural Development Planning,Lower middle income,u37,6,2.5,3.13,3.5,3.0,0.0,3.22,3.15,3.49,0.0
Industrial and Manufacturing Engineering,Lower middle income,U30,7,2.66,3.7,3.77,4.0,3.5,3.64,3.67,3.73,3.4
International Business - Management of Technology (VN),Lower middle income,U44,6,3.5,3.73,3.79,3.67,3.4,3.54,3.65,3.68,3.64
International Business - Management of Technology (VN),Upper middle income,U44,6.2,3.13,3.83,3.75,3.86,3.88,3.6,3.72,3.79,3.76
International Business - Management of Technology (VN),Lower middle income,u37,6,2.0,3.67,3.64,3.36,3.69,3.63,3.59,3.49,3.54
International Business - Management of Technology (VN),Lower middle income,u37,6,3.14,4.0,4.0,3.79,4.0,3.6,3.79,3.69,3.83
International Business - Management of Technology (VN),Lower middle income,U44,6,3.5,3.73,3.68,3.54,3.4,3.57,3.66,3.6,3.68
Environmental Engineering and Management,Upper middle income,U25,6,3.38,3.27,3.45,3.5,3.5,3.48,3.34,3.63,3.51
Remote Sensing and Geographic Information Systems,Upper middle income,U30,6.2,3.546,3.88,3.73,3.5,0.0,3.7,3.78,3.84,0.0
Business Administration - MBA,Lower middle income,U25,6.5,3.5,3.32,2.8,0.0,0.0,3.35,3.2,0.0,0.0
International Business - Management of Technology (VN),Lower middle income,u37,6,3.5,3.5,3.5,3.42,3.79,3.51,3.53,3.51,3.59
Energy,Low income,U30,6,4.0,3.88,3.88,3.88,0.0,3.69,3.79,3.82,0.0
Urban Environmental Management,Lower middle income,U30,6.5,3.0,3.87,3.75,0.0,0.0,3.88,3.76,0.0,0.0
Environmental Engineering and Management,Upper middle income,U25,6,3.53,3.5,3.64,3.5,3.5,3.47,3.57,3.72,3.61
Structural Engineering,Upper middle income,U30,6,3.48,3.0,3.63,3.0,0.0,3.49,3.17,3.42,0.0
Structural Engineering,Upper middle income,U30,6,3.01,3.38,3.38,3.5,0.0,3.45,3.51,3.45,0.0
Computer Science,Lower middle income,U25,6,2.0,3.5,3.83,3.83,4.0,3.47,3.56,3.79,3.76
Business Administration - MBA,Upper middle income,U30,6,3.03,3.29,3.36,3.5,0.0,3.57,3.34,3.41,0.0
Computer Science,Upper middle income,U30,6.5,3.82,4.0,3.83,4.0,0.0,3.59,3.87,3.95,0.0
Business Administration - MBA,Lower middle income,U30,6.2,4.0,3.14,3.14,3.4,3.0,3.57,3.14,3.35,3.55
Agricultural Systems & Engineering,Upper middle income,U30,6,3.58,3.88,3.82,0.0,0.0,3.53,3.77,0.0,0.0
Natural Resources Management,Upper middle income,U44,6.5,2.71,3.77,3.69,0.0,0.0,3.54,3.71,0.0,0.0
Business Administration - MBA,Upper middle income,U30,6.2,3.59,3.29,3.36,3.6,0.0,3.55,3.5,3.48,0.0
Structural Engineering,Upper middle income,U30,6,2.49,3.0,2.88,3.0,0.0,3.41,3.15,3.32,0.0
ConstructionEngineering and Infrastructure Management,Lower middle income,u37,6,3.0,3.13,3.5,3.25,0.0,3.41,3.22,3.45,0.0
Transportation Engineering,Low income,U30,6,4.0,3.5,3.79,0.0,0.0,3.51,3.61,0.0,0.0
Business Administration - MBA,Low income,u37,7,3.5,3.93,4.0,4.0,3.88,3.81,3.81,3.96,3.83
Water Engineering and Management,Low income,u37,6.5,3.5,3.42,3.79,0.0,0.0,3.52,3.57,0.0,0.0
International Business - Management of Technology (BKK),Lower middle income,U44,6,4.0,3.6,3.76,3.73,0.0,3.47,3.6,3.55,0.0
International Business - Management of Technology (BKK),Lower middle income,U44,6,4.0,3.7,3.65,3.69,0.0,3.5,3.65,3.56,0.0
Energy,Upper middle income,U30,6,3.8,2.69,2.9,3.63,3.0,3.26,3.13,3.3,3.2
Telecommunications,Upper middle income,U25,6,3.53,3.0,3.38,4.0,4.0,3.24,3.21,3.61,3.55
Food Engineering and Bioprocess Technology,Upper middle income,U30,6,3.12,3.13,3.13,4.0,0.0,3.32,3.2,3.47,0.0
Energy,Upper middle income,U25,6,3.18,3.13,2.8,3.0,0.0,3.46,3.14,3.36,0.0
Geotechnical and Geoenvironmental Engineering,Lower middle income,U30,6,2.5,3.0,3.25,3.5,2.5,3.22,3.16,3.35,3.48
Food Engineering and Bioprocess Technology,Upper middle income,U30,6,3.68,3.5,3.88,4.0,0.0,3.47,3.56,3.75,0.0
International Business - Management of Technology (VN),Lower middle income,U44,6,3.5,3.67,3.15,3.09,3.67,3.52,3.67,3.43,3.27
Urban Environmental Management,Lower middle income,U30,6,3.33,3.79,3.89,3.75,0.0,3.58,3.73,3.74,0.0
Microelectronics and Embedded Systems,Upper middle income,U25,6,3.73,3.85,3.77,3.5,0.0,3.64,3.72,3.92,0.0
International Business - Management of Technology (VN),Lower middle income,U44,6,3.5,3.83,3.32,3.71,3.79,3.54,3.7,3.64,3.63
Remote Sensing and Geographic Information Systems,Upper middle income,U30,6,2.86,2.5,2.88,3.5,0.0,3.32,3.13,3.32,0.0
Energy,Upper middle income,U30,6,2.92,3.0,3.0,3.5,0.0,3.49,3.13,3.32,0.0
Regional and Rural Development Planning,Upper middle income,U44,6,3.27,3.25,3.65,3.5,0.0,3.18,3.49,3.59,0.0
International Business - Management of Technology (VN),Lower middle income,U44,6,3.0,3.67,3.61,3.36,3.25,3.51,3.65,3.53,3.52
International Business - Management of Technology (VN),Lower middle income,U44,6,2.5,3.83,3.36,3.73,3.5,3.52,3.68,3.57,3.62
Regional and Rural Development Planning,Low income,u37,6,4.0,3.0,3.0,3.38,0.0,3.41,3.22,3.33,0.0
Business Administration - MBA,Low income,U30,6.5,3.4,3.86,3.79,3.83,0.0,3.51,3.75,3.75,0.0
Environmental Engineering and Management,Lower middle income,U25,7,1.0,3.17,3.32,3.67,3.5,3.49,3.48,3.39,3.52
Microelectronics and Embedded Systems,Lower middle income,u37,6,3.0,3.19,3.08,0.0,0.0,3.45,3.31,0.0,0.0
Information & Communications Technologies,Low income,U30,6,3.81,3.13,3.67,3.5,4.0,3.54,3.3,3.69,3.58
International Business - Management of Technology (VN),Lower middle income,u37,6,3.5,3.86,3.75,3.63,3.5,3.46,3.72,3.58,3.6
International Business - Management of Technology (VN),Lower middle income,U44,6,2.0,3.27,3.43,3.67,3.7,3.52,3.5,3.42,3.49
Urban Environmental Management,Lower middle income,u37,6,3.5,3.21,3.36,0.0,0.0,3.24,3.18,0.0,0.0
Urban Water Engineering and Management,Lower middle income,U44,6.2,3.43,3.75,4.0,4.0,0.0,3.68,3.71,3.82,0.0
Business Administration - MBA,Upper middle income,U30,7,3.11,3.29,3.43,3.5,0.0,3.56,3.49,3.5,0.0
Energy and Environment,Lower middle income,u37,6,3.34,3.1,3.54,3.63,0.0,3.52,3.15,3.49,0.0
Business Administration - MBA,Low income,U30,7.5,3.4,3.29,3.64,3.75,3.5,3.53,3.54,3.66,3.51
Energy,Lower middle income,u37,6,3.5,3.2,3.5,3.79,0.0,3.33,3.22,3.4,0.0
Pulp and Paper Technology,Lower middle income,U30,6,3.04,3.61,3.63,0.0,0.0,3.52,3.6,0.0,0.0
International Business - Management of Technology (VN),Lower middle income,U44,6,3.5,3.18,3.75,3.71,3.8,3.54,3.47,3.51,3.48
International Business - Management of Technology (VN),Lower middle income,U44,6,3.0,3.73,3.75,3.83,3.7,3.53,3.68,3.59,3.65
International Business - Management of Technology (VN),Lower middle income,U30,6,3.88,3.81,4.0,3.71,3.69,3.53,3.71,3.72,3.82
International Business - Management of Technology (VN),Lower middle income,u37,6,3.0,3.86,3.46,3.92,3.7,3.53,3.71,3.48,3.68
International Business - Management of Technology (VN),Lower middle income,U44,6,3.5,3.59,3.64,3.58,3.6,3.56,3.61,3.61,3.57
Energy,Upper middle income,U25,6,3.93,3.95,4.0,3.89,0.0,3.44,3.79,3.73,0.0
Urban Water Engineering and Management,Low income,u37,6.5,3.5,3.13,0.0,0.0,0.0,3.26,1.14,0.0,0.0
Aquaculture and Aquatic Resources Management,Lower middle income,U30,6.2,3.0,3.17,3.75,0.0,0.0,3.7,3.33,0.0,0.0
Structural Engineering,Upper middle income,U30,6,3.47,3.5,3.63,3.5,0.0,3.55,3.58,3.54,0.0
Computer Science,Upper middle income,U30,6.5,3.77,3.0,3.5,4.0,4.0,3.3,3.35,3.57,3.62
Urban Environmental Management,Lower middle income,U25,6,1.0,3.25,3.11,3.25,0.0,3.48,3.22,3.42,0.0
Business Administration - MBA,Upper middle income,u37,6,3.08,3.5,3.71,3.83,0.0,3.51,3.56,3.62,0.0
ConstructionEngineering and Infrastructure Management,Upper middle income,U25,6,3.06,3.25,3.39,0.0,0.0,3.49,3.38,0.0,0.0
Urban Environmental Management,Upper middle income,U30,6,3.23,2.93,3.14,0.0,0.0,3.21,3.13,0.0,0.0
Geotechnical and Geoenvironmental Engineering,Lower middle income,U30,6,3.88,4.0,4.0,0.0,0.0,3.38,3.84,0.0,0.0
Agricultural Systems & Engineering,Low income,U30,7,3.71,3.79,3.63,0.0,0.0,3.88,3.8,0.0,0.0
Business Administration - MBA,Low income,U30,6,1.57,3.14,3.43,4.0,3.4,3.43,3.49,3.53,3.58
ConstructionEngineering and Infrastructure Management,Lower middle income,U30,7.5,4.0,4.0,3.89,0.0,0.0,3.42,3.85,0.0,0.0
International Business - Management of Technology (VN),Lower middle income,U30,6,2.0,3.29,3.5,3.64,3.33,3.48,3.48,3.35,3.59
Natural Resources Management,Low income,U30,7,3.51,3.88,3.89,0.0,0.0,3.54,3.83,0.0,0.0
Gender and Development Studies,Low income,U44,6,3.0,3.08,3.5,4.0,0.0,3.16,3.29,3.44,0.0
Business Administration - MBA,Upper middle income,U30,6,3.5,3.71,3.57,4.0,0.0,3.54,3.62,3.66,0.0
Mechatronics,Upper middle income,U30,6,3.69,3.04,3.0,3.35,3.0,3.24,3.18,3.32,3.2
Water Engineering and Management,Lower middle income,u37,6,4.0,2.92,3.82,0.0,0.0,3.16,3.13,0.0,0.0
Water Engineering and Management,Upper middle income,U30,6,2.73,3.08,2.89,3.5,0.0,3.42,3.13,3.42,0.0
Computer Science,Upper middle income,U25,6,2.76,3.25,3.33,3.5,0.0,3.48,3.5,3.6,0.0
Water Engineering and Management,Lower middle income,U30,6,3.5,3.65,3.91,3.0,0.0,3.54,3.65,3.75,0.0
Structural Engineering,Upper middle income,U25,6,3.68,3.0,3.25,3.0,0.0,3.16,3.17,3.4,0.0
Energy,Upper middle income,G45,6,3.5,2.45,3.0,2.54,3.27,3.16,3.13,3.3,3.2
Business Administration - MBA,Lower middle income,U44,6.5,4.0,3.36,3.57,3.69,3.25,3.39,3.51,3.49,3.47
International Business - Management of Technology (VN),Lower middle income,u37,6,2.5,3.5,3.57,3.13,4.0,3.64,3.54,3.44,3.57
Business Administration - MBA,Upper middle income,U30,6,3.6,3.14,3.36,3.5,3.5,3.46,3.16,3.52,3.49
Industrial and Manufacturing Engineering,Upper middle income,u37,6,3.24,2.96,3.0,3.17,3.0,3.28,3.34,3.35,3.2
Water Engineering and Management,Upper middle income,U30,6,3.41,3.15,3.39,0.0,0.0,3.53,3.22,0.0,0.0
International Business - Management of Technology (VN),Lower middle income,U44,6,3.5,3.5,3.93,3.79,3.3,3.54,3.57,3.64,3.61
Food Engineering and Bioprocess Technology,Low income,u37,6,3.31,3.67,4.0,3.5,3.5,3.53,3.75,3.68,3.7
Energy,Upper middle income,U30,6,3.14,2.77,3.04,3.3,0.0,3.23,3.13,3.33,0.0
Agricultural Systems & Engineering,Upper middle income,U30,6.5,3.1,3.25,3.25,4.0,0.0,3.51,3.43,3.54,0.0
Environmental Engineering and Management,Low income,U30,6,3.5,3.0,3.25,3.75,3.25,3.17,3.16,3.34,3.25
International Business - Management of Technology (VN),Lower middle income,u37,6,3.0,3.57,3.61,3.5,3.2,3.54,3.56,3.63,3.18
Offshore Technology and Management,Upper middle income,U44,6.2,3.37,3.88,3.63,3.5,0.0,3.34,3.74,3.72,0.0
Food Engineering and Bioprocess Technology,Lower middle income,U30,6.2,4.0,3.88,4.0,4.0,0.0,3.69,3.77,4.0,0.0
Business Administration - MBA,Upper middle income,U30,6,3.37,3.79,3.43,3.67,0.0,3.54,3.66,3.65,0.0
International Business - Management of Technology (VN),Lower middle income,U30,6,3.5,3.32,3.25,3.42,3.8,3.48,3.3,3.34,3.57
Geotechnical and Geoenvironmental Engineering,Lower middle income,U30,6,4.0,3.27,3.38,0.0,0.0,3.52,3.41,0.0,0.0
Information & Communications Technologies,Upper middle income,U25,6,3.52,3.13,4.0,4.0,0.0,3.21,3.26,3.79,0.0
Offshore Technology and Management,Upper middle income,U30,6,3.05,3.75,3.67,3.5,3.5,3.43,3.66,3.75,3.66
AgriBusiness Management,Upper middle income,U30,6,3.55,3.38,3.25,4.0,0.0,3.2,3.45,3.56,0.0
Telecommunications,Lower middle income,U30,6,3.2,4.0,4.0,4.0,0.0,3.55,3.86,3.94,0.0
Business Administration - MBA,Lower middle income,U30,6,4.0,3.36,4.0,3.6,0.0,3.46,3.35,3.47,0.0
AgriBusiness Management,Upper middle income,U30,6,3.46,3.25,3.38,4.0,0.0,3.2,3.24,3.55,0.0
Urban Environmental Management,Lower middle income,U30,6,3.74,3.9,4.0,0.0,0.0,3.55,3.78,0.0,0.0
Geotechnical and Geoenvironmental Engineering,Upper middle income,u37,6,2.57,3.38,3.77,0.0,0.0,3.45,3.51,0.0,0.0
Remote Sensing and Geographic Information Systems,Lower middle income,u37,6,2.74,3.79,3.71,0.0,0.0,3.52,3.72,0.0,0.0
Food Engineering and Bioprocess Technology,Upper middle income,U25,6,3.43,3.5,3.63,4.0,0.0,3.53,3.55,3.79,0.0
Environmental Engineering and Management,Lower middle income,U30,6,2.72,3.86,4.0,4.0,4.0,3.52,3.74,3.81,3.99
Computer Science,Upper middle income,U30,6.5,3.2,3.08,3.63,3.5,0.0,3.16,3.35,3.6,0.0
Microelectronics,Upper middle income,u37,6,2.85,3.4,3.36,3.2,3.5,3.4,3.51,3.57,3.61
Computer Science,Upper middle income,U30,6,3.47,3.14,3.33,3.75,3.0,3.17,3.34,3.55,3.54
Information & Communications Technologies,Upper middle income,u37,6.2,2.93,2.75,3.0,3.0,2.0,3.45,3.13,3.32,3.2
Disaster Preparedness Mitigation and Management,Upper middle income,U44,6,2.28,2.67,3.5,2.75,2.75,3.16,3.16,3.32,3.2
Mechatronics,Upper middle income,U30,6,3.19,3.45,3.54,3.0,0.0,3.58,3.53,3.58,0.0
Remote Sensing and Geographic Information Systems,Lower middle income,u37,6,3.5,3.17,3.5,3.25,3.0,3.2,3.45,3.37,3.2
Industrial and Manufacturing Engineering,Upper middle income,U30,6,2.3,3.08,3.54,2.5,0.0,3.25,3.13,3.45,0.0
